Participant_ID,EIT_Version,Sentence,Stimulus,Syllables,Transcription,Confidence,Edit_Dist_to_Target,ASR_Suspect_Words,Whisper_AvgLogProb,Whisper_NoSpeechProb,DP_Cost,Start_Sec,End_Sec,N_Segs_Merged
38010,2A,1,Quiero cortarme el pelo,7,Quiero cortarme el pelo.,HIGH,0.0417,,-0.1729,0.5957,0.0417,164.6,170.85,1
38010,2A,2,El libro está en la mesa,7,El libro está en la mesa.,HIGH,0.04,,-0.1729,0.5957,0.04,170.85,177.36,1
38010,2A,3,El carro lo tiene Pedro,8,[inaudible],SILENT,1.0,,,1.0,0.72,,,0
38010,2A,4,El se ducha cada mañana,9,El carro no tiene pelo. Él se duche cada mañana.,LOW,0.7471,,-0.1729,0.5957,0.7471,177.36,189.6,1
38010,2A,5,¿Qué dice usted que va a hacer hoy?,9,¿Qué dice ustedes que va a hacer hoy?,HIGH,0.0541,,-0.1729,0.5957,0.0541,196.59,204.163,1
38010,2A,6,Dudo que sepa manejar muy bien,10,Dudo que sepa manejar muy bien.,HIGH,0.0323,,-0.1729,0.5957,0.0323,204.163,210.508,1
38010,2A,7,Las calles de esta ciudad son muy anchas,11,Las calles de esta ciudad son muy anchas.,HIGH,0.0244,,-0.1729,0.5957,0.0244,210.508,218.9,1
38010,2A,8,Puede que llueva mañana todo el día,12,Puede que lleve mañana todo el día.,HIGH,0.0857,,-0.2294,0.2578,0.0857,227.12,229.86,1
38010,2A,9,Las casas son muy bonitas pero caras,12,"Las casas son muy bonitas, pero caras.",HIGH,0.0526,,-0.2294,0.2578,0.0526,238.29,242.95,1
38010,2A,10,Me gustan las películas que acaban bien,12,Me gustan las películas que caben bien.,HIGH,0.0769,,-0.2294,0.2578,0.0769,249.98,252.74,1
38010,2A,11,El chico con el que yo salgo es español,13,El chico que hago es español.,MEDIUM,0.3333,,-0.2294,0.2578,0.3333,262.37,265.79,1
38010,2A,12,Después de cenar me fui a dormir tranquilo,13,"Después de cenar, me fui a dormir tranquilo.",HIGH,0.0455,,-0.2294,0.2578,0.0455,274.5,278.0,1
38010,2A,13,Quiero una casa en la que vivan mis animales,14,Quiero una casa en la que vivan animales.,HIGH,0.1136,,-0.2294,0.2578,0.1136,286.26,289.76,1
38010,2A,14,A nosotros nos fascinan las fiestas grandiosas,14,[inaudible],SILENT,1.0,,,1.0,0.72,,,0
38010,2A,15,Ella sólo bebe cerveza y no come nada,15,"A nosotros, ella solo bebe cerveza y no come nada.",MEDIUM,0.26,,-0.2021,0.4348,0.26,289.76,318.26,1
38010,2A,16,Me gustaría que el precio de las casas bajara,15,[inaudible],SILENT,1.0,,,1.0,0.72,,,0
38010,2A,17,Cruza a la derecha y después sigue todo recto,15,Me gustaría cruzar a la derecha y después siga recto.,MEDIUM,0.3962,,-0.2021,0.4348,0.3962,326.6,345.82,1
38010,2A,18,Ella ha terminado de pintar su apartamento,15,Ella termina pintando su apartamento.,MEDIUM,0.2857,,-0.2021,0.4348,0.2857,354.78,360.1,1
38010,2A,19,Me gustaría que empezara a hacer más calor pronto,15,[inaudible],SILENT,1.0,,,1.0,0.72,,,0
38010,2A,20,El niño al que se le murió el gato está triste,16,El niño a que se murió el gato. Triste.,MEDIUM,0.2174,,-0.2183,0.3665,0.2174,360.1,388.79,1
38010,2A,21,Una amiga mía cuida a los niños de mi vecino,16,Una amiga mía cuidaba a los niños.,MEDIUM,0.3409,,-0.2183,0.3665,0.3409,395.58,400.68,1
38010,2A,22,El gato que era negro fue perseguido por el perro,16,"El gato que era negro, antes de poder salir, tiene que limpiar",MEDIUM,0.4677,,-0.2183,0.3665,0.4677,409.8,430.53,1
38010,2A,23,Antes de poder salir él tiene que limpiar su cuarto,16,[inaudible],SILENT,1.0,,,1.0,0.72,,,0
38010,2A,24,La cantidad de personas que fuman ha disminuido,17,La cantidad de personas que fuman después de llegar a casa.,MEDIUM,0.3898,,-0.2457,0.3503,0.3898,430.53,458.455,1
38010,2A,25,Después de llegar a casa del trabajo tomé la cena,17,[inaudible],SILENT,1.0,,,1.0,0.72,,,0
38010,2A,26,El ladrón al que atrapó la policía era famoso,17,El ladrón policía era famoso.,MEDIUM,0.4,,-0.2457,0.3503,0.4,458.455,472.181,1
38010,2A,27,Le pedí a un amigo que me ayudara con la tarea,17,Le pedí a un amigo que ayudara a la tarea.,HIGH,0.1522,,-0.2457,0.3503,0.1522,472.181,492.06,1
38010,2A,28,El examen no fue tan difícil como me habían dicho,17,El examen no es tan difícil.,MEDIUM,0.4898,,-0.2281,0.1553,0.4898,492.06,509.17,1
38010,2A,29,¿Serías tan amable de darme el libro que está en la mesa?,17,Amable que está el libro que está en la mesa.,MEDIUM,0.3509,,-0.2281,0.1553,0.3509,519.7,525.82,1
38010,2A,30,Hay mucha gente que no toma nada para el desayuno,17,Hay mucha gente que no toma nada para el desayuno.,HIGH,0.02,,-0.2281,0.1553,0.02,526.16,536.91,1
38011,1A,1,Quiero cortarme el pelo,7,[inaudible],SILENT,1.0,,,1.0,0.72,,,0
38011,1A,2,El libro está en la mesa,7,Quiero cortarme el pelo. El libro está en la mesa.,LOW,0.7242,,-0.1887,0.0307,0.7242,150.62,159.44,1
38011,1A,3,El carro lo tiene Pedro,8,El carro no tiene pelo.,HIGH,0.1739,,-0.1887,0.0307,0.1739,165.1,167.1,1
38011,1A,4,El se ducha cada mañana,9,Él se ducha cada mañana.,HIGH,0.0417,,-0.1887,0.0307,0.0417,173.08,175.62,1
38011,1A,5,¿Qué dice usted que va a hacer hoy?,9,¿Qué dice usted que va a hacer hoy?,HIGH,0.0,,-0.2896,0.1121,0.0,182.14,184.62,1
38011,1A,6,Dudo que sepa manejar muy bien,10,Tuve que manejar bien.,MEDIUM,0.4333,,-0.2896,0.1121,0.4333,191.5,194.42,1
38011,1A,7,Las calles de esta ciudad son muy anchas,11,Las calles en la ciudad muchas años.,MEDIUM,0.4,,-0.2896,0.1121,0.4,201.35,205.67,1
38011,1A,8,Puede que llueva mañana todo el día,12,Puede que lleve mañana todo el día.,HIGH,0.0857,,-0.2896,0.1121,0.0857,212.47,214.81,1
38011,1A,9,Las casas son muy bonitas pero caras,12,"Las casas son muy bonitas, pero caras.",HIGH,0.0526,,-0.2896,0.1121,0.0526,223.72,227.32,1
38011,1A,10,Me gustan las películas que acaban bien,12,Me gustan las películas que acaban bien.,HIGH,0.025,,-0.2896,0.1121,0.025,235.65,238.09,1
38011,1A,11,El chico con el que yo salgo es español,13,¿El chico conectivo salgo está bien?,MEDIUM,0.4359,,-0.2896,0.1121,0.4359,247.52,252.58,1
38011,1A,12,Después de cenar me fui a dormir tranquilo,13,"Después de cenar, me fui a poner tranquilo.",HIGH,0.1395,,-0.2593,0.3262,0.1395,252.58,265.54,1
38011,1A,13,Quiero una casa en la que vivan mis animales,14,Quiero una casa que vivan a mis animales.,MEDIUM,0.2045,,-0.2593,0.3262,0.2045,272.42,276.1,1
38011,1A,14,A nosotros nos fascinan las fiestas grandiosas,14,A nosotros que los fichas.,LOW,0.587,,-0.2593,0.3262,0.587,285.08,287.74,1
38011,1A,15,Ella sólo bebe cerveza y no come nada,15,Ella solo cerveza y como me gustaría los precios de los carros,LOW,0.6744,,-0.2593,0.3262,0.6744,298.07,317.53,1
38011,1A,16,Me gustaría que el precio de las casas bajara,15,Cruza a la derecha y siga derecho.,LOW,0.7333,,-0.2593,0.3262,0.7333,326.5,330.62,1
38011,1A,17,Cruza a la derecha y después sigue todo recto,15,derecho. Ella ha terminado los apartamentos.,LOW,0.8222,,-0.1967,0.2462,0.8222,332.92,351.467,1
38011,1A,18,Ella ha terminado de pintar su apartamento,15,Me gustaría las hacer pronto. El niño que,LOW,0.8095,,-0.1967,0.2462,0.8095,351.467,368.72,1
38011,1A,19,Me gustaría que empezara a hacer más calor pronto,15,se murió el gato está triste.,LOW,0.7143,,-0.1967,0.2462,0.7143,368.72,378.698,1
38011,1A,20,El niño al que se le murió el gato está triste,16,Una amiga viene cuidar los niños a mi vecino.,LOW,0.8043,,-0.1967,0.2462,0.8043,378.698,394.181,1
38011,1A,21,Una amiga mía cuida a los niños de mi vecino,16,El gato era negro y el perro.,LOW,0.75,,-0.1967,0.2462,0.75,394.181,404.553,1
38011,1A,22,El gato que era negro fue perseguido por el perro,16,Antes de que salir fue de cuarto.,LOW,0.7143,,-0.1728,0.1915,0.7143,404.553,417.067,1
38011,1A,23,Antes de poder salir él tiene que limpiar su cuarto,16,La cantidad de las personas fuman,LOW,0.7843,,-0.1728,0.1915,0.7843,417.067,429.58,1
38011,1A,24,La cantidad de personas que fuman ha disminuido,17,que me salió.,LOW,0.8298,,-0.1728,0.1915,0.8298,429.58,434.977,1
38011,1A,25,Después de llegar a casa del trabajo tomé la cena,17,"Después de llegar a la casa, fui a la cena.",MEDIUM,0.3673,,-0.1728,0.1915,0.3673,434.977,452.83,1
38011,1A,26,El ladrón al que atrapó la policía era famoso,17,"Perdón a la policía, eran",LOW,0.5778,,-0.1728,0.1915,0.5778,452.83,463.21,1
38011,1A,27,Le pedí a un amigo que me ayudara con la tarea,17,eran famosos.,LOW,0.8478,,-0.3097,0.1658,0.8478,464.91,471.055,1
38011,1A,28,El examen no fue tan difícil como me habían dicho,17,Le pedí a un amigo que ayudara con mi tarea.,LOW,0.7143,,-0.3097,0.1658,0.7143,471.055,491.852,1
38011,1A,29,¿Serías tan amable de darme el libro que está en la mesa?,17,El examen no fue seriosamable,LOW,0.7193,,-0.3097,0.1658,0.7193,491.852,505.56,1
38011,1A,30,Hay mucha gente que no toma nada para el desayuno,17,que lo están. Hay mucha gente que no tomara el desayuno.,MEDIUM,0.4107,,-0.3097,0.1658,0.4107,505.56,521.94,1
38012,2A,1,Quiero cortarme el pelo,7,Quiero cortar el pelo.,HIGH,0.1304,,-0.3095,0.0242,0.1304,20.5,27.246,1
38012,2A,2,El libro está en la mesa,7,El libro está en la mesa.,HIGH,0.04,,-0.3095,0.0242,0.04,27.246,34.912,1
38012,2A,3,El carro lo tiene Pedro,8,[inaudible],SILENT,1.0,,,1.0,0.72,,,0
38012,2A,4,El se ducha cada mañana,9,El carro no tiene pelo. Él se duche cada mañana.,LOW,0.7471,,-0.3095,0.0242,0.7471,34.912,49.323,1
38012,2A,5,¿Qué dice usted que va a hacer hoy?,9,¿Qué dices de qué va a ser hoy?,CHECK,0.2286,dices→dice(0.8),-0.3095,0.0242,0.2286,49.323,58.829,1
38012,2A,6,Dudo que sepa manejar muy bien,10,¿Todo se calesará también? La calle se entece.,LOW,0.7291,,-0.3095,0.0242,0.7291,58.829,72.627,1
38012,2A,7,Las calles de esta ciudad son muy anchas,11,Los calles andan. El pueblo se queda callado.,LOW,0.6,,-0.3828,0.4502,0.6,72.627,87.141,1
38012,2A,8,Puede que llueva mañana todo el día,12,[inaudible],SILENT,1.0,,,1.0,0.72,,,0
38012,2A,9,Las casas son muy bonitas pero caras,12,Las casas son bonitas pero caras.,HIGH,0.1389,,-0.3828,0.4502,0.1389,87.141,98.509,1
38012,2A,10,Me gustan las películas que acaban bien,12,"Me gustan las películas, pecan bien.",MEDIUM,0.2051,,-0.3828,0.4502,0.2051,98.509,110.911,1
38012,2A,11,El chico con el que yo salgo es español,13,El chico es un bonalio español.,MEDIUM,0.3846,,-0.3828,0.4502,0.3846,110.911,121.59,1
38012,2A,12,Después de cenar me fui a dormir tranquilo,13,"es baño. Después, llegar, dormir.",LOW,0.7381,,-0.3637,0.4629,0.7381,121.59,134.773,1
38012,2A,13,Quiero una casa en la que vivan mis animales,14,Quiero la casa está a mi animales.,MEDIUM,0.3409,,-0.3637,0.4629,0.3409,134.773,148.779,1
38012,2A,14,A nosotros nos fascinan las fiestas grandiosas,14,A nosotros fascinabas a los nosotros.,MEDIUM,0.4565,,-0.5363,0.4629,0.4565,148.779,162.706,1
38012,2A,15,Ella sólo bebe cerveza y no come nada,15,Ella es el conversador del ojo.,LOW,0.6486,,-0.5363,0.3577,0.6486,162.706,173.61,1
38012,2A,16,Me gustaría que el precio de las casas bajara,15,Me gustaría que los besos de estas,MEDIUM,0.4667,,-0.5363,0.3577,0.4667,173.61,185.57,1
38012,2A,17,Cruza a la derecha y después sigue todo recto,15,cruzar a la derecha. He terminado desplazamiento.,LOW,0.5102,cruzar→Cruza(0.83),-0.5978,0.3037,0.5102,195.58,213.383,1
38012,2A,18,Ella ha terminado de pintar su apartamento,15,Me gustaría hacer pingatas esta... gustaría,LOW,0.7674,,-0.5978,0.3037,0.7674,213.383,228.96,1
38012,2A,19,Me gustaría que empezara a hacer más calor pronto,15,estaría pronto.,LOW,0.7347,,-0.3529,0.3311,0.7347,228.96,233.875,1
38012,2A,20,El niño al que se le murió el gato está triste,16,El niño sirio gato es tan muy triste.,LOW,0.5217,,-0.3529,0.3311,0.5217,233.875,246.0,1
38012,2A,21,Una amiga mía cuida a los niños de mi vecino,16,Una amiga picado en mi vecino.,MEDIUM,0.4318,,-0.3529,0.3311,0.4318,246.0,255.83,1
38012,2A,22,El gato que era negro fue perseguido por el perro,16,El gato se me dio ceña negro y el lapero.,LOW,0.5306,,-0.3529,0.3311,0.5306,256.39,277.26,1
38012,2A,23,Antes de poder salir él tiene que limpiar su cuarto,16,Quise limpiar tus cuartos. La cantina layas,LOW,0.8039,,-0.3529,0.3311,0.8039,277.26,298.64,1
38012,2A,24,La cantidad de personas que fuman ha disminuido,17,afortuno las personas.,LOW,0.766,,-0.3029,0.3799,0.766,298.93,307.181,1
38012,2A,25,Después de llegar a casa del trabajo tomé la cena,17,"Después de llegar a mi casa, voy a la cena.",MEDIUM,0.3673,,-0.3029,0.3799,0.3673,307.181,323.309,1
38012,2A,26,El ladrón al que atrapó la policía era famoso,17,[inaudible],SILENT,1.0,,,1.0,0.72,,,0
38012,2A,27,Le pedí a un amigo que me ayudara con la tarea,17,La policía era era famoso. Le pedí de una amiga.,LOW,0.7083,,-0.5386,0.3799,0.7083,323.309,346.928,1
